1,1,0
2,0,0
3,0,0
4,1,0
5,2,0
6,1,0
7,4,0
8,4,0
9,6,0
10,5,0
11,6,1
12,8,0
13,5,0
14,5,0
15,9,0
16,16,0
17,20,1
18,12,1
19,20,0
20,18,0
21,27,1
22,27,2
23,25,2
24,41,1
25,41,3
26,50,7
27,57,4
28,84,6
29,78,3
30,98,8
31,154,7
32,169,6
33,224,15
34,241,11
35,327,13
36,351,22
37,369,23
38,498,30
39,537,23
40,718,43
41,816,44
42,938,49
43,1083,55
44,1278,71
45,1678,80
46,1894,116
47,2329,118
48,2761,131
49,3410,153
50,4229,181
51,4877,267
52,5904,275
53,6877,345
54,8271,472
55,9552,533
56,11516,609
57,13578,778
58,16609,852
59,19766,1073
60,23277,1248
61,28029,1446
62,33025,1729
63,39253,2104
64,46419,2356
65,50588,2754
66,47852,2825
67,39496,2710
68,28576,2198
69,18757,1725
70,11226,1208
71,6373,834
72,3313,484
73,1665,307
74,786,184
75,318,96
76,178,62
77,69,32
78,30,16
79,10,11
80,5,5
81,2,1
82,3,3
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
