1,1,0
2,0,0
3,0,0
4,2,0
5,3,0
6,1,0
7,3,0
8,2,0
9,2,0
10,3,0
11,9,1
12,6,0
13,9,1
14,15,0
15,20,0
16,14,2
17,22,1
18,17,0
19,28,4
20,25,2
21,30,1
22,39,1
23,52,4
24,50,3
25,59,4
26,58,3
27,101,3
28,77,7
29,97,5
30,92,9
31,117,8
32,139,12
33,150,8
34,182,14
35,184,17
36,241,17
37,335,20
38,355,21
39,394,23
40,499,31
41,647,32
42,727,32
43,968,43
44,1049,77
45,1300,70
46,1582,89
47,1836,88
48,2149,114
49,2562,116
50,2898,159
51,3579,204
52,4102,243
53,5133,284
54,6070,363
55,7125,386
56,8545,474
57,10022,537
58,11986,629
59,14220,750
60,17065,924
61,20075,1036
62,24115,1286
63,28708,1530
64,34052,1872
65,40970,2065
66,47801,2524
67,50429,2749
68,46991,2847
69,37688,2517
70,26540,2058
71,17214,1528
72,10105,1129
73,5481,710
74,2855,451
75,1396,303
76,641,183
77,282,77
78,150,49
