1,1,0
2,0,0
3,0,0
4,3,0
5,1,0
6,1,0
7,4,0
8,3,0
9,4,0
10,1,0
11,2,0
12,7,0
13,4,0
14,9,0
15,15,0
16,9,1
17,19,0
18,17,0
19,14,1
20,25,2
21,31,0
22,20,0
23,26,4
24,63,6
25,57,2
26,83,4
27,74,4
28,106,4
29,138,10
30,152,6
31,183,14
32,177,6
33,247,15
34,250,23
35,332,21
36,415,25
37,480,20
38,577,32
39,689,43
40,818,41
41,1006,46
42,1222,61
43,1479,83
44,1828,80
45,2085,92
46,2526,122
47,3081,181
48,3691,197
49,4273,220
50,5132,292
51,6124,338
52,7314,363
53,8477,430
54,10401,529
55,12500,642
56,14970,723
57,17802,901
58,21481,1159
59,26019,1341
60,30484,1562
61,37114,1974
62,43879,2297
63,51610,2703
64,53885,2924
65,48392,2872
66,38024,2537
67,26341,2103
68,16747,1505
69,9618,1031
70,5312,657
71,2732,372
72,1328,255
73,646,146
74,282,81
75,129,46
76,60,32
77,20,13
78,11,4
79,2,3
80,0,2
81,0,0
82,1,0
83,0,0
84,0,1
85,0,0
86,0,0
87,0,0
